"Location","String Value","String Representation","Data Type","Label","Is Ascii","Function Name"
"00400dc1","gethostbyname","u8\"gethostbyname\"","utf8","","true",""
"00400dcf","sprintf","u8\"sprintf\"","utf8","","true",""
"00400dd7","strcspn","u8\"strcspn\"","utf8","","true",""
"00400ddf","strsep","u8\"strsep\"","utf8","","true",""
"00400de6","fputc","u8\"fputc\"","utf8","","true",""
"00400dec","fwrite","u8\"fwrite\"","utf8","","true",""
"00400df3","exit","u8\"exit\"","utf8","","true",""
"00400df8","atoi","u8\"atoi\"","utf8","","true",""
"00400dfd","fileno","u8\"fileno\"","utf8","","true",""
"00400e04","strspn","u8\"strspn\"","utf8","","true",""
"00400e0b","strlen","u8\"strlen\"","utf8","","true",""
"00400e12","toupper","u8\"toupper\"","utf8","","true",""
"00400e1a","strchr","u8\"strchr\"","utf8","","true",""
"00400e21","fputs","u8\"fputs\"","utf8","","true",""
"00400e27","fcntl","u8\"fcntl\"","utf8","","true",""
"00400e2d","tcsetattr","u8\"tcsetattr\"","utf8","","true",""
"00400e37","__fputc_unlocked","u8\"__fputc_unlocked\"","utf8","","true",""
"00400e48","free","u8\"free\"","utf8","","true",""
"00400e4d","__errno_location","u8\"__errno_location\"","utf8","","true",""
"00400e5e","stderr","u8\"stderr\"","utf8","","true",""
"00400e65","stdin","u8\"stdin\"","utf8","","true",""
"00400e6b","calloc","u8\"calloc\"","utf8","","true",""
"00400e72","malloc","u8\"malloc\"","utf8","","true",""
"00400e79","memcpy","u8\"memcpy\"","utf8","","true",""
"00400e80","stdout","u8\"stdout\"","utf8","","true",""
"00400e87","_ftext","u8\"_ftext\"","utf8","","true",""
"00400e8e","_fdata","u8\"_fdata\"","utf8","","true",""
"00400e95","_edata","u8\"_edata\"","utf8","","true",""
"00400e9c","__bss_start","u8\"__bss_start\"","utf8","","true",""
"00400ea8","_fbss","u8\"_fbss\"","utf8","","true",""
"00400eae","_end","u8\"_end\"","utf8","","true",""
"004e4a68","devid","\"devid\"","ds","s_devid_004e4a68","true",""
"004e4a70","boardrev","\"boardrev\"","ds","","true",""
"004e4a7c","boardflags","\"boardflags\"","ds","","true",""
"004e4a8c","boardflags2","\"boardflags2\"","ds","","true",""
"004e4a98","boardtype","\"boardtype\"","ds","","true",""
"004e4aac","boardnum","\"boardnum\"","ds","","true",""
"004e4abc","regrev","\"regrev\"","ds","","true",""
"004e4afc","pa0itssit","\"pa0itssit\"","ds","","true",""
"004e4b80","pa1itssit","\"pa1itssit\"","ds","","true",""
"004e4b98","pa1lomaxpwr","\"pa1lomaxpwr\"","ds","","true",""
"004e4bb0","bxa2g","\"bxa2g\"","ds","s_bxa2g_004e4bb0","true",""
"004e4bb8","rssisav2g","\"rssisav2g\"","ds","s_rssisav2g_004e4bb8","true",""
"004e4bc4","rssismc2g","\"rssismc2g\"","ds","s_rssismc2g_004e4bc4","true",""
"004e4bd0","rssismf2g","\"rssismf2g\"","ds","s_rssismf2g_004e4bd0","true",""
"004e4bdc","bxa5g","\"bxa5g\"","ds","s_bxa5g_004e4bdc","true",""
"004e4be4","rssisav5g","\"rssisav5g\"","ds","s_rssisav5g_004e4be4","true",""
"004e4bf0","rssismc5g","\"rssismc5g\"","ds","s_rssismc5g_004e4bf0","true",""
"004e4bfc","rssismf5g","\"rssismf5g\"","ds","s_rssismf5g_004e4bfc","true",""
"004e4c38","txchain","\"txchain\"","ds","s_txchain_004e4c38","true",""
"004e4c40","rxchain","\"rxchain\"","ds","","true",""
"004e4c48","antswitch","\"antswitch\"","ds","","true",""
"004e4c54","tssipos2g","\"tssipos2g\"","ds","s_tssipos2g_004e4c54","true",""
"004e4c60","extpagain2g","\"extpagain2g\"","ds","s_extpagain2g_004e4c60","true",""
"004e4c6c","pdetrange2g","\"pdetrange2g\"","ds","s_pdetrange2g_004e4c6c","true",""
"004e4c78","triso2g","\"triso2g\"","ds","s_triso2g_004e4c78","true",""
"004e4c80","antswctl2g","\"antswctl2g\"","ds","s_antswctl2g_004e4c80","true",""
"004e4c8c","tssipos5g","\"tssipos5g\"","ds","s_tssipos5g_004e4c8c","true",""
"004e4c98","extpagain5g","\"extpagain5g\"","ds","s_extpagain5g_004e4c98","true",""
"004e4ca4","pdetrange5g","\"pdetrange5g\"","ds","s_pdetrange5g_004e4ca4","true",""
"004e4cb0","triso5g","\"triso5g\"","ds","s_triso5g_004e4cb0","true",""
"004e4cb8","antswctl5g","\"antswctl5g\"","ds","s_antswctl5g_004e4cb8","true",""
"004e4d84","ccode","\"ccode\"","ds","s_ccode_004e4d84","true",""
"004e4d8c","macaddr","\"macaddr\"","ds","s_macaddr_004e4d8c","true",""
"004e4d94","il0macaddr","\"il0macaddr\"","ds","","true",""
"004e4da0","et1macaddr","\"et1macaddr\"","ds","","true",""
"004e4db4","tempthresh","\"tempthresh\"","ds","s_tempthresh_004e4db4","true",""
"004e4dc0","tempoffset","\"tempoffset\"","ds","s_tempoffset_004e4dc0","true",""
"004e4dcc","rawtempsense","\"rawtempsense\"","ds","","true",""
"004e4ddc","measpower","\"measpower\"","ds","","true",""
"004e4de8","tempsense_slope","\"tempsense_slope\"","ds","s_tempsense_slope_004e4de8","true",""
"004e4df8","tempcorrx","\"tempcorrx\"","ds","s_tempcorrx_004e4df8","true",""
"004e4e04","tempsense_option","\"tempsense_option\"","ds","s_tempsense_option_004e4e04","true",""
"004e4e18","freqoffset_corr","\"freqoffset_corr\"","ds","","true",""
"004e4e28","iqcal_swp_dis","\"iqcal_swp_dis\"","ds","","true",""
"004e4e38","hw_iqcal_en","\"hw_iqcal_en\"","ds","","true",""
"004e4e54","phycal_tempdelta","\"phycal_tempdelta\"","ds","s_phycal_tempdelta_004e4e54","true",""
"004e4e68","temps_period","\"temps_period\"","ds","s_temps_period_004e4e68","true",""
"004e4e78","temps_hysteresis","\"temps_hysteresis\"","ds","s_temps_hysteresis_004e4e78","true",""
"004e4e8c","measpower1","\"measpower1\"","ds","","true",""
"004e4e98","measpower2","\"measpower2\"","ds","","true",""
"004e4ea4","cck2gpo","\"cck2gpo\"","ds","s_cck2gpo_004e4ea4","true",""
"004e4eac","ofdm2gpo","\"ofdm2gpo\"","ds","s_ofdm2gpo_004e4eac","true",""
"004e4eb8","ofdm5gpo","\"ofdm5gpo\"","ds","s_ofdm5gpo_004e4eb8","true",""
"004e4ec4","ofdm5glpo","\"ofdm5glpo\"","ds","s_ofdm5glpo_004e4ec4","true",""
"004e4ed0","ofdm5ghpo","\"ofdm5ghpo\"","ds","s_ofdm5ghpo_004e4ed0","true",""
"004e5204","pcieingress_war","\"pcieingress_war\"","ds","","true",""
"004e5214","eu_edthresh2g","\"eu_edthresh2g\"","ds","","true",""
"004e5224","eu_edthresh5g","\"eu_edthresh5g\"","ds","","true",""
"004e5234","rxgainerr2ga0","\"rxgainerr2ga0\"","ds","","true",""
"004e5244","rxgainerr2ga1","\"rxgainerr2ga1\"","ds","","true",""
"004e5254","rxgainerr2ga2","\"rxgainerr2ga2\"","ds","","true",""
"004e5264","rxgainerr5gla0","\"rxgainerr5gla0\"","ds","","true",""
"004e5274","rxgainerr5gla1","\"rxgainerr5gla1\"","ds","","true",""
"004e5284","rxgainerr5gla2","\"rxgainerr5gla2\"","ds","","true",""
"004e5294","rxgainerr5gma0","\"rxgainerr5gma0\"","ds","","true",""
"004e52a4","rxgainerr5gma1","\"rxgainerr5gma1\"","ds","","true",""
"004e52b4","rxgainerr5gma2","\"rxgainerr5gma2\"","ds","","true",""
"004e52c4","rxgainerr5gha0","\"rxgainerr5gha0\"","ds","","true",""
"004e52d4","rxgainerr5gha1","\"rxgainerr5gha1\"","ds","","true",""
"004e52e4","rxgainerr5gha2","\"rxgainerr5gha2\"","ds","","true",""
"004e52f4","rxgainerr5gua0","\"rxgainerr5gua0\"","ds","","true",""
"004e5304","rxgainerr5gua1","\"rxgainerr5gua1\"","ds","","true",""
"004e5314","rxgainerr5gua2","\"rxgainerr5gua2\"","ds","","true",""
"004e5344","noiselvl2ga1","\"noiselvl2ga1\"","ds","","true",""
"004e5354","noiselvl2ga2","\"noiselvl2ga2\"","ds","","true",""
"004e5364","noiselvl5gla0","\"noiselvl5gla0\"","ds","","true",""
"004e5374","noiselvl5gla1","\"noiselvl5gla1\"","ds","","true",""
"004e5384","noiselvl5gla2","\"noiselvl5gla2\"","ds","","true",""
"004e5394","noiselvl5gma0","\"noiselvl5gma0\"","ds","","true",""
"004e53a4","noiselvl5gma1","\"noiselvl5gma1\"","ds","","true",""
"004e53b4","noiselvl5gma2","\"noiselvl5gma2\"","ds","","true",""
"004e53c4","noiselvl5gha0","\"noiselvl5gha0\"","ds","","true",""
"004e53d4","noiselvl5gha1","\"noiselvl5gha1\"","ds","","true",""
"004e53e4","noiselvl5gha2","\"noiselvl5gha2\"","ds","","true",""
"004e53f4","noiselvl5gua0","\"noiselvl5gua0\"","ds","","true",""
"004e5404","noiselvl5gua1","\"noiselvl5gua1\"","ds","","true",""
"004e5414","noiselvl5gua2","\"noiselvl5gua2\"","ds","","true",""
"004e5424","noisecaloffset","\"noisecaloffset\"","ds","","true",""
"004e5434","noisecaloffset5g","\"noisecaloffset5g\"","ds","","true",""
"004e5448","subband5gver","\"subband5gver\"","ds","","true",""
"004e5458","cckPwrOffset","\"cckPwrOffset\"","ds","","true",""
"004e5478","boardflags3","\"boardflags3\"","ds","","true",""
"004e54b4","tssiposslope2g","\"tssiposslope2g\"","ds","s_tssiposslope2g_004e54b4","true",""
"004e54c4","epagain2g","\"epagain2g\"","ds","s_epagain2g_004e54c4","true",""
"004e54d0","pdgain2g","\"pdgain2g\"","ds","s_pdgain2g_004e54d0","true",""
"004e54dc","tworangetssi2g","\"tworangetssi2g\"","ds","s_tworangetssi2g_004e54dc","true",""
"004e54ec","papdcap2g","\"papdcap2g\"","ds","s_papdcap2g_004e54ec","true",""
"004e54f8","femctrl","\"femctrl\"","ds","s_femctrl_004e54f8","true",""
"004e5500","tssiposslope5g","\"tssiposslope5g\"","ds","s_tssiposslope5g_004e5500","true",""
"004e5510","epagain5g","\"epagain5g\"","ds","s_epagain5g_004e5510","true",""
"004e551c","pdgain5g","\"pdgain5g\"","ds","s_pdgain5g_004e551c","true",""
"004e5528","tworangetssi5g","\"tworangetssi5g\"","ds","s_tworangetssi5g_004e5528","true",""
"004e5538","papdcap5g","\"papdcap5g\"","ds","s_papdcap5g_004e5538","true",""
"004e5544","gainctrlsph","\"gainctrlsph\"","ds","s_gainctrlsph_004e5544","true",""
"004e5550","xtalfreq","\"xtalfreq\"","ds","","true",""
"004e556c","tssifloor2g","\"tssifloor2g\"","ds","","true",""
"004e5578","tssifloor5g","\"tssifloor5g\"","ds","","true",""
"004e5584","pdoffset2g40ma0","\"pdoffset2g40ma0\"","ds","s_pdoffset2g40ma0_004e5584","true",""
"004e5594","pdoffset2g40ma1","\"pdoffset2g40ma1\"","ds","s_pdoffset2g40ma1_004e5594","true",""
"004e55a4","pdoffset2g40ma2","\"pdoffset2g40ma2\"","ds","s_pdoffset2g40ma2_004e55a4","true",""
"004e55b4","pdoffset2g40mvalid","\"pdoffset2g40mvalid\"","ds","s_pdoffset2g40mvalid_004e55b4","true",""
"004e55c8","pdoffset40ma0","\"pdoffset40ma0\"","ds","","true",""
"004e55d8","pdoffset40ma1","\"pdoffset40ma1\"","ds","","true",""
"004e55f8","pdoffset80ma0","\"pdoffset80ma0\"","ds","","true",""
"004e5608","pdoffset80ma1","\"pdoffset80ma1\"","ds","","true",""
"004e5628","paparambwver","\"paparambwver\"","ds","s_paparambwver_004e5628","true",""
"004e5638","rx5ggainwar","\"rx5ggainwar\"","ds","","true",""
"004e581c","dot11agduphrpo","\"dot11agduphrpo\"","ds","","true",""
"004e584c","noiselvl5ga1","\"noiselvl5ga1\"","ds","","true",""
"004e585c","noiselvl5ga2","\"noiselvl5ga2\"","ds","","true",""
"004e586c","rxgainerr5ga0","\"rxgainerr5ga0\"","ds","","true",""
"004e587c","rxgainerr5ga1","\"rxgainerr5ga1\"","ds","","true",""
"004e588c","rxgainerr5ga2","\"rxgainerr5ga2\"","ds","","true",""
"004e589c","rpcal2g","\"rpcal2g\"","ds","s_rpcal2g_004e589c","true",""
"004e58a4","rpcal5gb0","\"rpcal5gb0\"","ds","s_rpcal5gb0_004e58a4","true",""
"004e58b0","rpcal5gb1","\"rpcal5gb1\"","ds","s_rpcal5gb1_004e58b0","true",""
"004e58bc","rpcal5gb2","\"rpcal5gb2\"","ds","s_rpcal5gb2_004e58bc","true",""
"004e58c8","rpcal5gb3","\"rpcal5gb3\"","ds","s_rpcal5gb3_004e58c8","true",""
"004e58ec","pdoffsetcckma0","\"pdoffsetcckma0\"","ds","","true",""
"004e58fc","pdoffsetcckma1","\"pdoffsetcckma1\"","ds","","true",""
"004e590c","pdoffsetcckma2","\"pdoffsetcckma2\"","ds","","true",""
"004e591c","boardflags4","\"boardflags4\"","ds","","true",""
"004e5928","pdoffsetcck","\"pdoffsetcck\"","ds","","true",""
"004e5b60","rxgains5gmelnagaina0","\"rxgains5gmelnagaina0\"","ds","s_rxgains5gmelnagaina0_004e5b60","true",""
"004e5b78","rxgains5gmelnagaina1","\"rxgains5gmelnagaina1\"","ds","s_rxgains5gmelnagaina1_004e5b78","true",""
"004e5b90","rxgains5gmelnagaina2","\"rxgains5gmelnagaina2\"","ds","s_rxgains5gmelnagaina2_004e5b90","true",""
"004e5ba8","rxgains5gmtrisoa0","\"rxgains5gmtrisoa0\"","ds","s_rxgains5gmtrisoa0_004e5ba8","true",""
"004e5bbc","rxgains5gmtrisoa1","\"rxgains5gmtrisoa1\"","ds","s_rxgains5gmtrisoa1_004e5bbc","true",""
"004e5bd0","rxgains5gmtrisoa2","\"rxgains5gmtrisoa2\"","ds","s_rxgains5gmtrisoa2_004e5bd0","true",""
"004e5be4","rxgains5gmtrelnabypa0","\"rxgains5gmtrelnabypa0\"","ds","s_rxgains5gmtrelnabypa0_004e5be4","true",""
"004e5bfc","rxgains5gmtrelnabypa1","\"rxgains5gmtrelnabypa1\"","ds","s_rxgains5gmtrelnabypa1_004e5bfc","true",""
"004e5c14","rxgains5gmtrelnabypa2","\"rxgains5gmtrelnabypa2\"","ds","s_rxgains5gmtrelnabypa2_004e5c14","true",""
"004e5c2c","rxgains5ghelnagaina0","\"rxgains5ghelnagaina0\"","ds","s_rxgains5ghelnagaina0_004e5c2c","true",""
"004e5c44","rxgains5ghelnagaina1","\"rxgains5ghelnagaina1\"","ds","s_rxgains5ghelnagaina1_004e5c44","true",""
"004e5c5c","rxgains5ghelnagaina2","\"rxgains5ghelnagaina2\"","ds","s_rxgains5ghelnagaina2_004e5c5c","true",""
"004e5c74","rxgains5ghtrisoa0","\"rxgains5ghtrisoa0\"","ds","s_rxgains5ghtrisoa0_004e5c74","true",""
"004e5c88","rxgains5ghtrisoa1","\"rxgains5ghtrisoa1\"","ds","s_rxgains5ghtrisoa1_004e5c88","true",""
"004e5c9c","rxgains5ghtrisoa2","\"rxgains5ghtrisoa2\"","ds","s_rxgains5ghtrisoa2_004e5c9c","true",""
"004e5cb0","rxgains5ghtrelnabypa0","\"rxgains5ghtrelnabypa0\"","ds","s_rxgains5ghtrelnabypa0_004e5cb0","true",""
"004e5cc8","rxgains5ghtrelnabypa1","\"rxgains5ghtrelnabypa1\"","ds","s_rxgains5ghtrelnabypa1_004e5cc8","true",""
"004e5ce0","rxgains5ghtrelnabypa2","\"rxgains5ghtrelnabypa2\"","ds","s_rxgains5ghtrelnabypa2_004e5ce0","true",""
"004e8e30","maxp2ga","\"maxp2ga\"","ds","s_maxp2ga_004e8e30","true",""
"004e8f10","rxgains5gmelnagaina","\"rxgains5gmelnagaina\"","ds","","true",""
"004e8f24","rxgains5gmtrisoa","\"rxgains5gmtrisoa\"","ds","","true",""
"004e8f38","rxgains5gmtrelnabypa","\"rxgains5gmtrelnabypa\"","ds","","true",""
"004e8f50","rxgains5ghelnagaina","\"rxgains5ghelnagaina\"","ds","","true",""
"004e8f64","rxgains5ghtrisoa","\"rxgains5ghtrisoa\"","ds","","true",""
"004e8f78","rxgains5ghtrelnabypa","\"rxgains5ghtrelnabypa\"","ds","","true",""
"004e8f90","rxgains2gelnagaina","\"rxgains2gelnagaina\"","ds","","true",""
"004e8fa4","rxgains2gtrisoa","\"rxgains2gtrisoa\"","ds","","true",""
"004e8fb4","rxgains2gtrelnabypa","\"rxgains2gtrelnabypa\"","ds","","true",""
"004e8fc8","rxgains5gelnagaina","\"rxgains5gelnagaina\"","ds","","true",""
"004e8fdc","rxgains5gtrisoa","\"rxgains5gtrisoa\"","ds","","true",""
"004e8fec","rxgains5gtrelnabypa","\"rxgains5gtrelnabypa\"","ds","","true",""
"004e9bc4","pa1lob0 pa1lob1 pa1lob2","\"pa1lob0 pa1lob1 pa1lob2\"","ds","","true",""
"004e9bf0","pa1hib0 pa1hib1 pa1hib2","\"pa1hib0 pa1hib1 pa1hib2\"","ds","","true",""
"004e9c08","pa2ga0","\"pa2ga0\"","ds","s_pa2ga0_004e9c08","true",""
"004e9fb0","mcs2gpo0 mcs2gpo1 mcs2gpo2 mcs2gpo3 mcs2gpo4 mcs2gpo5 mcs2gpo6 mcs2gpo7","\"mcs2gpo0 mcs2gpo1 mcs2gpo2 mcs2gpo3 mcs2gpo4 mcs2gpo5 mcs2gpo6 mcs2gpo7\"","ds","s_mcs2gpo0_mcs2gpo1_mcs2gpo2_mcs2g_004e9fb0","true",""
"004ea108","smanf sproductname","\"smanf sproductname\"","ds","","true",""
"004ea11c","2manfid 2prodid","\"2manfid 2prodid\"","ds","","true",""
"004ea12c","8usbmanfid","\"8usbmanfid\"","ds","","true",""
"004ea144","2vendid 2devid 2chiprev 2subvendid 2subdevid","\"2vendid 2devid 2chiprev 2subvendid 2subdevid\"","ds","","true",""
"004ea174","2boardrev","\"2boardrev\"","ds","","true",""
"004ea180","2pa0b0 2pa0b1 2pa0b2 1pa0itssit 1pa0maxpwr 1opo","\"2pa0b0 2pa0b1 2pa0b2 1pa0itssit 1pa0maxpwr 1opo\"","ds","","true",""
"004ea1dc","4boardflags 4boardflags2 4boardflags3","\"4boardflags 4boardflags2 4boardflags3\"","ds","","true",""
"004ea204","1ledbh0 1ledbh1 1ledbh2 1ledbh3 1ledbh4 1ledbh5 1ledbh6 1ledbh7 1ledbh8 1ledbh9 1ledbh10 1ledbh11 1ledbh12 1ledbh13 1ledbh14 1ledbh15","\"1ledbh0 1ledbh1 1ledbh2 1ledbh3 1ledbh4 1ledbh5 1ledbh6 1ledbh7 1ledbh8 1ledbh9 1ledbh10 1ledbh11 1ledbh12 1ledbh13 1ledbh14 1ledbh15\"","ds","","true",""
"004ea28c","2ccode 1cctl","\"2ccode 1cctl\"","ds","","true",""
"004ea2ac","2pa1b0 2pa1b1 2pa1b2 2pa1lob0 2pa1lob1 2pa1lob2 2pa1hib0 2pa1hib1 2pa1hib2 1pa1itssit 1pa1maxpwr 1pa1lomaxpwr 1pa1himaxpwr","\"2pa1b0 2pa1b1 2pa1b2 2pa1lob0 2pa1lob1 2pa1lob2 2pa1hib0 2pa1hib1 2pa1hib2 1pa1itssit 1pa1maxpwr 1pa1lomaxpwr 1pa1himaxpwr\"","ds","","true",""
"004ea330","0rssismf2g 0rssismc2g 0rssisav2g 0bxa2g","\"0rssismf2g 0rssismc2g 0rssisav2g 0bxa2g\"","ds","","true",""
"004ea358","0rssismf5g 0rssismc5g 0rssisav5g 0bxa5g","\"0rssismf5g 0rssismc5g 0rssisav5g 0bxa5g\"","ds","","true",""
"004ea380","4xtalfreq","\"4xtalfreq\"","ds","","true",""
"004ea3bc","2boardnum","\"2boardnum\"","ds","","true",""
"004ea3c8","6macaddr","\"6macaddr\"","ds","","true",""
"004ea3dc","2boardtype","\"2boardtype\"","ds","","true",""
"004ea3fc","1txchain 1rxchain 2antswitch","\"1txchain 1rxchain 2antswitch\"","ds","","true",""
"004ea424","0antswctl2g 0triso2g 0pdetrange2g 0extpagain2g 0tssipos2g 0antswctl5g 0triso5g 0pdetrange5g 0extpagain5g 0tssipos5g","\"0antswctl2g 0triso2g 0pdetrange2g 0extpagain2g 0tssipos2g 0antswctl5g 0triso5g 0pdetrange5g 0extpagain5g 0tssipos5g\"","ds","","true",""
"004ea794","1cckdigfilttype","\"1cckdigfilttype\"","ds","","true",""
"004ea7d0","1wpsgpio 1wpsled","\"1wpsgpio 1wpsled\"","ds","","true",""
"004ea7fc","4customvar1","\"4customvar1\"","ds","","true",""
"004ea874","4legofdmbw205glpo 4legofdmbw20ul5glpo 4legofdmbw205gmpo 4legofdmbw20ul5gmpo 4legofdmbw205ghpo 4legofdmbw20ul5ghpo","\"4legofdmbw205glpo 4legofdmbw20ul5glpo 4legofdmbw205gmpo 4legofdmbw20ul5gmpo 4legofdmbw205ghpo 4legofdmbw20ul5ghpo\"","ds","","true",""
"004ea9b4","1tempthresh 0temps_period 0temps_hysteresis 1tempoffset 1tempsense_slope 0tempcorrx 0tempsense_option 1phycal_tempdelta","\"1tempthresh 0temps_period 0temps_hysteresis 1tempoffset 1tempsense_slope 0tempcorrx 0tempsense_option 1phycal_tempdelta\"","ds","","true",""
"004eaa38","0femctrl 0papdcap2g 0tworangetssi2g 0pdgain2g 0epagain2g 0tssiposslope2g 0gainctrlsph 0papdcap5g 0tworangetssi5g 0pdgain5g 0epagain5g 0tssiposslope5g","\"0femctrl 0papdcap2g 0tworangetssi2g 0pdgain2g 0epagain2g 0tssiposslope2g 0gainctrlsph 0papdcap5g 0tworangetssi5g 0pdgain5g 0epagain5g 0tssiposslope5g\"","ds","","true",""
"004eaad0","2subband5gver 2maxp2ga0 2*3pa2ga0 1*4maxp5ga0 2*12pa5ga0","\"2subband5gver 2maxp2ga0 2*3pa2ga0 1*4maxp5ga0 2*12pa5ga0\"","ds","","true",""
"004eab64","1measpower 1measpower1 1measpower2 2rawtempsense","\"1measpower 1measpower1 1measpower2 2rawtempsense\"","ds","","true",""
"004eab98","2pdoffset40ma0 2pdoffset40ma1 2pdoffset40ma2 2pdoffset80ma0 2pdoffset80ma1 2pdoffset80ma2","\"2pdoffset40ma0 2pdoffset40ma1 2pdoffset40ma2 2pdoffset80ma0 2pdoffset80ma1 2pdoffset80ma2\"","ds","","true",""
"004eac98","2sb20in40hrpo 2sb20in80and160hr5glpo 2sb40and80hr5glpo 2sb20in80and160hr5gmpo 2sb40and80hr5gmpo 2sb20in80and160hr5ghpo 2sb40and80hr5ghpo 2sb20in40lrpo 2sb20in80and160lr5glpo 2sb40and80lr5glpo 2sb20in80and160lr5gmpo 2sb40and80lr5gmpo 2sb20in80and160lr5ghpo 2sb40and80lr5ghpo 2dot11agduphrpo 2dot11agduplrpo","\"2sb20in40hrpo 2sb20in80and160hr5glpo 2sb40and80hr5glpo 2sb20in80and160hr5gmpo 2sb40and80hr5gmpo 2sb20in80and160hr5ghpo 2sb40and80hr5ghpo 2sb20in40lrpo 2sb20in80and160lr5glpo 2sb40and80lr5glpo 2sb20in80and160lr5gmpo 2sb40and80lr5gmpo 2sb20in80and160lr5ghpo 2sb40and80lr5ghpo 2dot11agduphrpo 2dot11agduplrpo\"","ds","","true",""
"004eadcc","1noiselvl2ga0 1noiselvl2ga1 1noiselvl2ga2 1*4noiselvl5ga0 1*4noiselvl5ga1 1*4noiselvl5ga2","\"1noiselvl2ga0 1noiselvl2ga1 1noiselvl2ga2 1*4noiselvl5ga0 1*4noiselvl5ga1 1*4noiselvl5ga2\"","ds","","true",""
